timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783734.133195,0000000000000002:1,0.009341,-0.000685,0.006538
1776783734.133250,0000000000000002:2,0.850700,-0.149145,0.595490
1776783734.138456,0000000000000004:1,0.794646,0.117810,0.591595
1776783734.138489,0000000000000004:2,0.009336,-0.000642,0.006535
1776783734.138508,0000000000000004:3,0.000040,0.000010,0.000031
1776783734.174362,0000000000000003:1,0.000037,0.000003,0.000027
1776783734.174396,0000000000000003:2,0.339288,0.325880,0.335265
1776783734.301263,0000000000000001:1,0.012421,-0.001050,0.008695
1776783734.301315,0000000000000001:2,0.845720,-0.154280,0.592004
1776783734.301335,0000000000000001:3,0.347098,0.333663,0.343067
1776783735.136412,0000000000000002:1,0.009870,0.000530,0.007068
1776783735.136471,0000000000000002:2,0.000208,-0.850492,0.000145
1776783735.142185,0000000000000004:1,0.999639,0.204993,0.761245
1776783735.142218,0000000000000004:2,0.009868,0.000533,0.007068
1776783735.142236,0000000000000004:3,0.000110,0.000070,0.000098
1776783735.178637,0000000000000003:1,0.000104,0.000067,0.000093
1776783735.178672,0000000000000003:2,0.903973,0.564685,0.802187
1776783735.362627,0000000000000001:1,0.012557,0.000136,0.008831
1776783735.362680,0000000000000001:2,0.000196,-0.845524,0.000137
1776783735.362700,0000000000000001:3,0.855662,0.508564,0.751533
1776783736.141349,0000000000000002:1,0.009014,-0.000856,0.006310
1776783736.141403,0000000000000002:2,0.604492,0.604284,0.604430
1776783736.147378,0000000000000004:1,0.793082,-0.206557,0.555157
1776783736.147425,0000000000000004:2,0.009008,-0.000860,0.006306
1776783736.147452,0000000000000004:3,0.000150,0.000040,0.000117
1776783736.184979,0000000000000003:1,0.000147,0.000043,0.000116
1776783736.185013,0000000000000003:2,0.378860,-0.525113,0.265202
1776783736.315306,0000000000000001:1,0.012852,0.000295,0.009085
1776783736.315351,0000000000000001:2,0.638903,0.638707,0.638844
1776783736.315371,0000000000000001:3,0.391209,-0.464453,0.273846
1776783737.143262,0000000000000004:1,0.686432,-0.106650,0.480502
1776783737.143318,0000000000000004:2,0.009524,0.000516,0.006822
1776783737.143338,0000000000000004:3,0.000094,-0.000056,0.000066
1776783737.149013,0000000000000002:1,0.009413,0.000399,0.006709
1776783737.156060,0000000000000002:2,0.993093,0.388601,0.811745
1776783737.196018,0000000000000003:1,0.000103,-0.000044,0.000072
1776783737.196053,0000000000000003:2,0.012394,-0.366466,0.008676
1776783737.331806,0000000000000001:1,0.012473,-0.000379,0.008731
1776783737.331859,0000000000000001:2,0.992227,0.353324,0.800556
1776783737.331878,0000000000000001:3,0.012340,-0.378869,0.008638
1776783738.153224,0000000000000002:1,0.009767,0.000354,0.006943
1776783738.153282,0000000000000002:2,0.637997,-0.355096,0.446598
1776783738.162770,0000000000000004:1,0.852780,0.166349,0.646851
1776783738.162815,0000000000000004:2,0.009624,0.000099,0.006766
1776783738.162835,0000000000000004:3,0.000092,-0.000002,0.000065
1776783738.195561,0000000000000003:1,0.000071,-0.000032,0.000049
