timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783524.475175,0000000000000001:2,0.950490,0.772832,0.897193
1776783524.475193,0000000000000001:3,0.007276,-0.222581,0.005093
1776783525.375031,0000000000000004:1,0.678882,-0.028635,0.475217
1776783525.375083,0000000000000004:2,0.008286,0.002119,0.006436
1776783525.375102,0000000000000004:3,0.000939,-0.003109,0.000657
1776783525.379822,0000000000000002:1,0.008156,0.001492,0.006157
1776783525.379852,0000000000000002:2,0.992823,-0.007177,0.694976
1776783525.391905,0000000000000003:1,0.001318,-0.003312,0.000923
1776783525.391935,0000000000000003:2,0.011830,0.003858,0.009439
1776783525.478732,0000000000000001:1,0.012571,-0.000044,0.008799
1776783525.478795,0000000000000001:2,1.000000,0.049510,0.714853
1776783525.478815,0000000000000001:3,0.010432,0.003156,0.008249
1776783526.386233,0000000000000004:1,0.534432,-0.144450,0.374102
1776783526.386284,0000000000000004:2,0.009678,0.001393,0.007193
1776783526.386302,0000000000000004:3,0.000289,-0.000650,0.000202
1776783526.388120,0000000000000002:1,0.009696,0.001541,0.007250
1776783526.388146,0000000000000002:2,0.779044,-0.213779,0.545331
1776783526.398964,0000000000000003:1,0.000284,-0.001035,0.000199
1776783526.398994,0000000000000003:2,0.012994,0.001164,0.009445
1776783526.482592,0000000000000001:1,0.013485,0.000915,0.009714
1776783526.482626,0000000000000001:2,0.780219,-0.219781,0.546153
1776783526.482645,0000000000000001:3,0.012969,0.002537,0.009840
1776783527.390185,0000000000000002:1,0.008936,-0.000760,0.006255
1776783527.390234,0000000000000002:2,0.001019,-0.778025,0.000714
1776783527.390680,0000000000000004:1,0.012537,-0.521894,0.008776
1776783527.390704,0000000000000004:2,0.008918,-0.000760,0.006243
1776783527.390721,0000000000000004:3,0.000508,0.000219,0.000422
1776783527.406472,0000000000000003:1,0.000490,0.000207,0.000405
1776783527.406509,0000000000000003:2,0.011881,-0.001113,0.008317
1776783527.485412,0000000000000001:1,0.012571,-0.000914,0.008800
1776783527.485476,0000000000000001:2,0.000945,-0.779274,0.000661
1776783527.485496,0000000000000001:3,0.011968,-0.001001,0.008377
